<DATE>;COPPER
24.03.2022;10415.774435
25.03.2022;10339.7147
27.03.2022;10318.770715
27.03.2022;10410.26286
29.03.2022;10491.83417
30.03.2022;10463.17398
31.03.2022;10442.229995
01.04.2022;10373.886465
03.04.2022;10366.17026
04.04.2022;10553.56381
05.04.2022;10491.83417
06.04.2022;10397.03508
07.04.2022;10389.318875
08.04.2022;10425.69527
10.04.2022;10423.49064
11.04.2022;10215.153105
12.04.2022;10365.067945
13.04.2022;10377.19341
14.04.2022;10406.955915
17.04.2022;10456.56009
18.04.2022;10588.83789
19.04.2022;10369.477205
20.04.2022;10283.496635
21.04.2022;10328.69155
22.04.2022;10099.41003
24.04.2022;10109.330865
25.04.2022;9881.15166
26.04.2022;9708.088205
27.04.2022;9794.068775
28.04.2022;9776.431735
29.04.2022;9673.91644
01.05.2022;9687.14422
02.05.2022;9456.760385
03.05.2022;9490.93215
04.05.2022;9635.335415
05.05.2022;9472.192795
06.05.2022;9366.370555
08.05.2022;9327.78953
09.05.2022;9249.525165
10.05.2022;9184.48858
11.05.2022;9288.10619
12.05.2022;9027.95985
13.05.2022;9183.386265
15.05.2022;9221.96729
16.05.2022;9279.28767
17.05.2022;9334.40342
18.05.2022;9162.44228
19.05.2022;9420.38399
20.05.2022;9485.420575
22.05.2022;9516.285395
23.05.2022;9540.536325
24.05.2022;9509.671505
25.05.2022;9421.486305
26.05.2022;9412.667785
27.05.2022;9527.308545
29.05.2022;9522.899285
30.05.2022;9565.88957
31.05.2022;9449.04418
01.06.2022;9527.308545
02.06.2022;10050.90817
03.06.2022;9876.7424
05.06.2022;9828.24054
06.06.2022;9759.89701
07.06.2022;9809.501185
08.06.2022;9799.58035
09.06.2022;9603.36828
10.06.2022;9436.918715
12.06.2022;9324.482585
13.06.2022;9268.26452
14.06.2022;9123.861255
15.06.2022;9206.53488
16.06.2022;9029.062165
17.06.2022;8840.5663
19.06.2022;8900.09131
20.06.2022;8836.15704
21.06.2022;8871.43112
22.06.2022;8658.684325
23.06.2022;8277.283335
24.06.2022;8243.11157
26.06.2022;8305.943525
27.06.2022;8266.260185
28.06.2022;8280.59028
29.06.2022;8332.399085
30.06.2022;8116.345345
01.07.2022;7969.73745
03.07.2022;7982.96523
04.07.2022;7902.496235
05.07.2022;7580.620255
06.07.2022;7577.31331
07.07.2022;7817.61798
08.07.2022;7760.2976
10.07.2022;7658.88462
11.07.2022;7534.323025
12.07.2022;7181.582225
13.07.2022;7290.71141
14.07.2022;7126.466475
15.07.2022;7155.126665
17.07.2022;7172.763705
18.07.2022;7302.836875
19.07.2022;7277.48363
20.07.2022;7302.836875
21.07.2022;7295.12067
22.07.2022;7325.98549
24.07.2022;7335.906325
25.07.2022;7399.840595
26.07.2022;7497.94663
27.07.2022;7659.986935
28.07.2022;7700.77259
29.07.2022;7924.542535
31.07.2022;7838.561965
01.08.2022;7795.57168
02.08.2022;7655.577675
03.08.2022;7656.67999
04.08.2022;7672.1124
05.08.2022;7825.334185
07.08.2022;7804.3902
08.08.2022;7904.700865
09.08.2022;7904.700865
10.08.2022;8024.8532
11.08.2022;8143.90322
12.08.2022;8110.83377
14.08.2022;8077.76432
15.08.2022;7935.565685
16.08.2022;7988.476805
17.08.2022;7905.80318
18.08.2022;8025.955515
19.08.2022;8098.708305
21.08.2022;8066.74117
22.08.2022;8061.229595
23.08.2022;8118.549975
24.08.2022;8020.44394
25.08.2022;8145.005535
26.08.2022;8150.51711
28.08.2022;8064.53654
29.08.2022;7949.89578
30.08.2022;7831.948075
31.08.2022;7737.148985
01.09.2022;7527.709135
02.09.2022;7497.94663
04.09.2022;7453.85403
05.09.2022;7634.63369
06.09.2022;7615.894335
07.09.2022;7598.257295
08.09.2022;7845.175855
09.09.2022;7831.948075
11.09.2022;7829.743445
12.09.2022;7976.35134
13.09.2022;7786.75316
14.09.2022;7759.195285
15.09.2022;7629.122115
16.09.2022;7811.00409
18.09.2022;7816.515665
19.09.2022;7777.93464
20.09.2022;7714.00037
21.09.2022;7570.69942
22.09.2022;7637.940635
23.09.2022;7382.203555
25.09.2022;7383.30587
26.09.2022;7257.64196
27.09.2022;7262.05122
28.09.2022;7450.547085
29.09.2022;7571.801735
30.09.2022;7471.49107
02.10.2022;7496.844315
03.10.2022;7529.913765
04.10.2022;7700.77259
05.10.2022;7809.901775
06.10.2022;7577.31331
07.10.2022;7458.26329
09.10.2022;7440.62625
10.10.2022;7576.210995
11.10.2022;7549.755435
12.10.2022;7560.778585
13.10.2022;7639.04295
14.10.2022;7507.867465
16.10.2022;7538.732285
17.10.2022;7510.072095
18.10.2022;7407.5568
19.10.2022;7316.064655
20.10.2022;7484.71885
21.10.2022;7673.214715
23.10.2022;7657.782305
24.10.2022;7568.49479
25.10.2022;7491.33274
26.10.2022;7797.77631
27.10.2022;7765.809175
28.10.2022;7572.90405
29.10.2022;7566.29016
31.10.2022;7459.365605
01.11.2022;7644.554525
02.11.2022;7566.29016
03.11.2022;7542.03923
04.11.2022;8152.72174
06.11.2022;7973.044395
07.11.2022;7926.747165
08.11.2022;8085.480525
09.11.2022;8098.708305
10.11.2022;8312.557415
11.11.2022;8677.42368
13.11.2022;8677.42368
14.11.2022;8445.93753
15.11.2022;8421.6866
16.11.2022;8288.306485
17.11.2022;8121.85692
18.11.2022;8016.03468
20.11.2022;8039.183295
21.11.2022;7901.39392
22.11.2022;7995.090695
23.11.2022;8040.28561
24.11.2022;8024.8532
25.11.2022;7981.862915
27.11.2022;7869.426785
28.11.2022;7922.337905
29.11.2022;8029.26246
30.11.2022;8361.059275
01.12.2022;8369.877795
02.12.2022;8501.05328
04.12.2022;8524.201895
05.12.2022;8440
06.12.2022;8384.75
07.12.2022;8485.62087
08.12.2022;8561.680605
09.12.2022;8490.5
11.12.2022;8475.700035
12.12.2022;8387.514835
13.12.2022;8481.21161
14.12.2022;8512.07643
15.12.2022;8337.91066
16.12.2022;8309.25047
18.12.2022;8323.580565
19.12.2022;8303.25
20.12.2022;8333.75
21.12.2022;8369.5
22.12.2022;8290.5
23.12.2022;8328
26.12.2022;8503.25791
27.12.2022;8488.927815
28.12.2022;8426
29.12.2022;8409.5
30.12.2022;8364.76
02.01.2023;8465.7792
03.01.2023;8307
04.01.2023;8236
05.01.2023;8361.5
06.01.2023;8569.9
08.01.2023;8763.40425
09.01.2023;8833
10.01.2023;8890.5
11.01.2023;9107.5
12.01.2023;9169.05
13.01.2023;9168.55
15.01.2023;9271.571465
16.01.2023;9088.19
17.01.2023;9282.99
18.01.2023;9326
19.01.2023;9301
20.01.2023;9307.76
22.01.2023;9417.077045
23.01.2023;9330.77
24.01.2023;9291.01
25.01.2023;9289.5
26.01.2023;9306.5
27.01.2023;9242.24
29.01.2023;9337.710365
30.01.2023;9188.35
31.01.2023;9199.55
01.02.2023;9078.66634
02.02.2023;8986
03.02.2023;8951.25
05.02.2023;8918.830665
06.02.2023;8896.784365
07.02.2023;8893
08.02.2023;8863.75
09.02.2023;8952.24
10.02.2023;8828.76
12.02.2023;8853.79408
13.02.2023;8956.309375
14.02.2023;8921
15.02.2023;8873.63575
16.02.2023;8991.5
17.02.2023;8950.25
19.02.2023;9083.0756
20.02.2023;9115.5
21.02.2023;9183.5
22.02.2023;9103
23.02.2023;8884.99
24.02.2023;8716.004705
26.02.2023;8757.892675
27.02.2023;8844.97556
28.02.2023;8951
01.03.2023;9084
02.03.2023;8928.1
03.03.2023;8991.583455
05.03.2023;8921.035295
06.03.2023;8893.25
07.03.2023;8737.5
08.03.2023;8886
09.03.2023;8832.3
10.03.2023;8847
12.03.2023;8890.170475
13.03.2023;8918.25
14.03.2023;8831.74778
15.03.2023;8558.37366
16.03.2023;8508.75
17.03.2023;8573.25
19.03.2023;8652.070435
20.03.2023;8701.25
21.03.2023;8761
22.03.2023;8900.5
23.03.2023;9033
24.03.2023;8977.25336
26.03.2023;9000.401975
26.03.2023;8951.25
28.03.2023;8968.25
29.03.2023;8991.583455
30.03.2023;9003.25
31.03.2023;9003.5
02.04.2023;8997.09503
03.04.2023;8917
04.04.2023;8740.25
05.04.2023;8784.75
06.04.2023;8806.75
09.04.2023;8865.919545
10.04.2023;8743.56258
11.04.2023;8851.5
12.04.2023;8916.8
13.04.2023;9065.75
14.04.2023;9030.25
16.04.2023;9057.722355
17.04.2023;8962.95
18.04.2023;9004.4
19.04.2023;8947.75
20.04.2023;8865.25
21.04.2023;8778.5
23.04.2023;8793.166755
24.04.2023;8710
25.04.2023;8506
26.04.2023;8535.25
27.04.2023;8569.5
28.04.2023;8577
02.05.2023;8490
03.05.2023;8442.75
04.05.2023;8474.4
05.05.2023;8560.25
09.05.2023;8562.25
10.05.2023;8425
11.05.2023;8150.5
12.05.2023;8150
15.05.2023;8185
16.05.2023;8067
17.05.2023;8125
18.05.2023;8100
19.05.2023;8000
22.05.2023;8061.53
23.05.2023;8035.74
24.05.2023;7851.75
25.05.2023;7914.75
26.05.2023;8106
30.05.2023;8103
31.05.2023;8070
01.06.2023;8240
02.06.2023;8233.5
05.06.2023;8331.01
06.06.2023;8334
07.06.2023;8292.1
08.06.2023;8336
09.06.2023;8349
12.06.2023;8282
13.06.2023;8450
14.06.2023;8509.25
15.06.2023;8555.99
16.06.2023;8555
19.06.2023;8546
20.06.2023;8552.25
21.06.2023;8606.25
22.06.2023;8579.25
23.06.2023;8409.24
26.06.2023;8422
27.06.2023;8382
28.06.2023;8259.5
29.06.2023;8177
30.06.2023;8322.05
03.07.2023;8397
04.07.2023;8346
05.07.2023;8304
06.07.2023;8246
07.07.2023;8360.5
10.07.2023;8356.49
11.07.2023;8305
12.07.2023;8488.75
13.07.2023;8687
14.07.2023;8661.75
17.07.2023;8468
18.07.2023;8444.99
19.07.2023;8401.79
20.07.2023;8460.75
21.07.2023;8422.5
24.07.2023;8487.75
25.07.2023;8641.25
26.07.2023;8577.25
27.07.2023;8528
28.07.2023;8625.49
31.07.2023;8800
01.08.2023;8594.25
02.08.2023;8469.24
03.08.2023;8570.5
04.08.2023;8523.25
07.08.2023;8436.11
08.08.2023;8303
09.08.2023;8363.26
10.08.2023;8320
11.08.2023;8255.6
14.08.2023;8242.75
15.08.2023;8143.5
16.08.2023;8115.25
17.08.2023;8200.85
18.08.2023;8213.75
21.08.2023;8239
22.08.2023;8330.7
23.08.2023;8424.25
24.08.2023;8326.5
25.08.2023;8319.25
29.08.2023;8411
30.08.2023;8445.55
31.08.2023;8404.5
01.09.2023;8479.25
04.09.2023;8437.25
05.09.2023;8482.5
06.09.2023;8358.75
07.09.2023;8309.25
08.09.2023;8229
11.09.2023;8375.5
12.09.2023;8367.5
13.09.2023;8397.5
14.09.2023;8372.25
15.09.2023;8350.35
18.09.2023;8299.8
19.09.2023;8233.5
20.09.2023;8281.5
21.09.2023;8129.75
22.09.2023;8161.74
25.09.2023;8075.4
26.09.2023;8034.15
27.09.2023;8056.5
28.09.2023;8167.05
29.09.2023;8212.5
02.10.2023;7978
03.10.2023;7929
04.10.2023;7875
05.10.2023;7823.75
06.10.2023;7971.25
09.10.2023;8039.25
10.10.2023;7945
11.10.2023;7946.5
12.10.2023;7915.75
13.10.2023;7875.81
16.10.2023;7915.5
17.10.2023;7902.75
18.10.2023;7901.5
19.10.2023;7928
20.10.2023;7879.76
23.10.2023;7900.76
24.10.2023;7985
25.10.2023;7958.5
26.10.2023;7911
27.10.2023;8030
30.10.2023;8068.75
31.10.2023;8029
01.11.2023;8030
02.11.2023;8064
03.11.2023;8095.7
06.11.2023;8157.74
07.11.2023;8101
08.11.2023;8058.5
09.11.2023;8068.11
10.11.2023;7954.69
13.11.2023;8081.25
14.11.2023;8144
15.11.2023;8172.25
16.11.2023;8122
17.11.2023;8168.2
20.11.2023;8340.25
21.11.2023;8353
22.11.2023;8252.99
23.11.2023;8306.5
24.11.2023;8329.75
27.11.2023;8259.25
28.11.2023;8387.75
29.11.2023;8336.5
30.11.2023;8387.5
01.12.2023;8538.52
04.12.2023;8362.75
05.12.2023;8252.75
06.12.2023;8201.25
07.12.2023;8258
08.12.2023;8366.25
11.12.2023;8249.1
12.12.2023;8259.75
13.12.2023;8237.4
14.12.2023;8460.51
15.12.2023;8454.65
18.12.2023;8393.81
19.12.2023;8500.5
20.12.2023;8488.5
21.12.2023;8508.5
22.12.2023;8483.5
27.12.2023;8589
28.12.2023;8530.25
29.12.2023;8463.92
02.01.2024;8440.5
03.01.2024;8418.5
04.01.2024;8367.8
05.01.2024;8310
08.01.2024;8339.69
09.01.2024;8263.4
10.01.2024;8269
11.01.2024;8262.2
12.01.2024;8241.2
15.01.2024;8284
16.01.2024;8268
17.01.2024;8174.25
18.01.2024;8223.8
19.01.2024;8271.76
22.01.2024;8254.5
23.01.2024;8312
24.01.2024;8472.49
25.01.2024;8477.5
26.01.2024;8448.05
29.01.2024;8455
30.01.2024;8511.75
31.01.2024;8500.5
01.02.2024;8425.5
02.02.2024;8374.34
05.02.2024;8247.24
06.02.2024;8293.25
07.02.2024;8198.74
08.02.2024;8085.02
09.02.2024;8065.04
12.02.2024;8128.68
13.02.2024;8155.5
14.02.2024;8097
15.02.2024;8223
16.02.2024;8409.16
19.02.2024;8353.5
20.02.2024;8423.99
21.02.2024;8456.5
22.02.2024;8499.5
23.02.2024;8475
26.02.2024;8361.5
27.02.2024;8375.25
28.02.2024;8354.75
29.02.2024;8401.5
01.03.2024;8416
04.03.2024;8455.91
05.03.2024;8400.75
06.03.2024;8484.25
07.03.2024;8546.49
08.03.2024;8487.27
11.03.2024;8559.65
12.03.2024;8560.7
