GOLD;<CLOSE>
24.03.2022;1961.5
25.03.2022;1957.6
27.03.2022;1944.1
28.03.2022;1924.9
29.03.2022;1923
30.03.2022;1929.4
31.03.2022;1943.1
01.04.2022;1928.5
03.04.2022;1922.7
04.04.2022;1932
05.04.2022;1926.6
06.04.2022;1925
07.04.2022;1933.9
08.04.2022;1950.4
10.04.2022;1946
11.04.2022;1963.2
12.04.2022;1973.6
13.04.2022;1977.2
14.04.2022;1977.1
17.04.2022;1988.6
18.04.2022;1981.8
19.04.2022;1946.5
20.04.2022;1953.5
21.04.2022;1952.1
22.04.2022;1932.5
24.04.2022;1925.3
25.04.2022;1903.2
26.04.2022;1899.6
27.04.2022;1879.2
28.04.2022;1905.6
29.04.2022;1896.9
01.05.2022;1888.8
02.05.2022;1862.3
03.05.2022;1864.5
04.05.2022;1901.8
05.05.2022;1876.5
06.05.2022;1882.8
08.05.2022;1874.6
09.05.2022;1863.5
10.05.2022;1835.2
11.05.2022;1852.7
12.05.2022;1823.2
13.05.2022;1810.3
15.05.2022;1808.6
16.05.2022;1821.7
17.05.2022;1806.4
18.05.2022;1814.1
19.05.2022;1840.1
20.05.2022;1845.1
22.05.2022;1853.1
23.05.2022;1854
24.05.2022;1861.1
25.05.2022;1848.7
26.05.2022;1852.4
27.05.2022;1850.6
29.05.2022;1857.3
30.05.2022;1854.8
31.05.2022;1839
01.06.2022;1847.2
02.06.2022;1872.3
03.06.2022;1853.9
05.06.2022;1858.7
06.06.2022;1842.4
07.06.2022;1848.8
08.06.2022;1857.5
09.06.2022;1846.9
10.06.2022;1875.2
12.06.2022;1867
13.06.2022;1826.8
14.06.2022;1816.8
15.06.2022;1834.6
16.06.2022;1844.6
17.06.2022;1841.9
19.06.2022;1846
20.06.2022;1842.3
21.06.2022;1829.4
22.06.2022;1834.3
23.06.2022;1826.2
24.06.2022;1828.1
26.06.2022;1836.9
27.06.2022;1827.3
28.06.2022;1821.5
29.06.2022;1817.9
30.06.2022;1801.5
01.07.2022;1812.9
03.07.2022;1812.2
04.07.2022;1811.4
05.07.2022;1767.4
06.07.2022;1743.9
07.07.2022;1740.4
08.07.2022;1740.9
10.07.2022;1740.8
11.07.2022;1731.5
12.07.2022;1725.2
13.07.2022;1730.1
14.07.2022;1706
15.07.2022;1706.5
17.07.2022;1714.5
18.07.2022;1707.1
19.07.2022;1710.3
20.07.2022;1689
21.07.2022;1712.5
22.07.2022;1725.3
24.07.2022;1725.6
25.07.2022;1722.2
26.07.2022;1714.6
27.07.2022;1735
28.07.2022;1779.1
29.07.2022;1782.7
31.07.2022;1778
01.08.2022;1790.9
02.08.2022;1785
03.08.2022;1787
04.08.2022;1809
05.08.2022;1792.4
07.08.2022;1789.1
08.08.2022;1802
09.08.2022;1807.4
10.08.2022;1801.1
11.08.2022;1806.5
12.08.2022;1818.9
14.08.2022;1811.1
15.08.2022;1796.2
16.08.2022;1790.1
17.08.2022;1775.9
18.08.2022;1767.2
19.08.2022;1760.3
21.08.2022;1759.6
22.08.2022;1751.2
23.08.2022;1758.1
24.08.2022;1769.2
25.08.2022;1770.2
26.08.2022;1750.8
28.08.2022;1735.9
29.08.2022;1747.1
30.08.2022;1735.3
31.08.2022;1715.2
01.09.2022;1710.3
02.09.2022;1722.6
04.09.2022;1722.9
05.09.2022;1729
06.09.2022;1704
07.09.2022;1725.7
08.09.2022;1729.9
09.09.2022;1727.6
11.09.2022;1724
12.09.2022;1731.9
13.09.2022;1710.4
14.09.2022;1701.9
15.09.2022;1672.7
16.09.2022;1684.5
18.09.2022;1677.4
19.09.2022;1685.3
20.09.2022;1671.7
21.09.2022;1668.3
22.09.2022;1677
23.09.2022;1651.7
25.09.2022;1645.3
26.09.2022;1638.1
27.09.2022;1631.6
28.09.2022;1662.8
29.09.2022;1670.1
30.09.2022;1668.3
02.10.2022;1672.2
03.10.2022;1708.8
04.10.2022;1728.2
05.10.2022;1730.7
06.10.2022;1717.6
07.10.2022;1701.8
09.10.2022;1695.9
10.10.2022;1670.7
11.10.2022;1672
12.10.2022;1675.7
13.10.2022;1674.9
14.10.2022;1650.2
16.10.2022;1655.2
17.10.2022;1657.8
18.10.2022;1654.2
19.10.2022;1630.2
20.10.2022;1625.6
21.10.2022;1662.5
23.10.2022;1658.9
24.10.2022;1655.9
25.10.2022;1661.3
26.10.2022;1668.5
27.10.2022;1668.7
28.10.2022;1648.3
30.10.2022;1647.2
31.10.2022;1640.4
01.11.2022;1653.8
02.11.2022;1640
03.11.2022;1641.3
04.11.2022;1685.7
06.11.2022;1675.7
07.11.2022;1672.7
08.11.2022;1711.4
09.11.2022;1712.8
10.11.2022;1756.1
11.11.2022;1774.2
13.11.2022;1764.4
14.11.2022;1774
15.11.2022;1775.1
16.11.2022;1765
17.11.2022;1764.7
18.11.2022;1752
20.11.2022;1747.3
21.11.2022;1746.1
22.11.2022;1735.2
23.11.2022;1756
24.11.2022;1758.7
25.11.2022;1755
27.11.2022;1751.4
28.11.2022;1752.5
29.11.2022;1767.8
30.11.2022;1793.4
01.12.2022;1811.4
02.12.2022;1811.4
04.12.2022;1821.5
05.12.2022;1784.2
06.12.2022;1782.5
07.12.2022;1795.1
08.12.2022;1807.2
09.12.2022;1809.4
11.12.2022;1798.4
12.12.2022;1793.3
13.12.2022;1822.1
14.12.2022;1801.1
15.12.2022;1788.3
16.12.2022;1803
18.12.2022;1802.9
19.12.2022;1799
20.12.2022;1824.1
21.12.2022;1829.1
22.12.2022;1802.3
23.12.2022;1806
26.12.2022;1812.4
27.12.2022;1819.1
28.12.2022;1815.7
29.12.2022;1822.7
30.12.2022;1830.1
02.01.2023;1846.9
03.01.2023;1852.6
04.01.2023;1857.5
05.01.2023;1842.6
06.01.2023;1870.5
08.01.2023;1881.6
09.01.2023;1875.4
10.01.2023;1881.8
11.01.2023;1887.5
12.01.2023;1898.7
13.01.2023;1923
15.01.2023;1925.2
16.01.2023;1913.9
17.01.2023;1901.6
18.01.2023;1911.3
19.01.2023;1925.6
20.01.2023;1927.7
22.01.2023;1930.9
23.01.2023;1934
24.01.2023;1929.8
25.01.2023;1947
26.01.2023;1921.8
27.01.2023;1927.6
29.01.2023;1932.4
30.01.2023;1935.4
31.01.2023;1941.4
01.02.2023;1968.7
02.02.2023;1929.9
03.02.2023;1877.7
05.02.2023;1891
06.02.2023;1885.6
07.02.2023;1889.3
08.02.2023;1891.1
09.02.2023;1864.8
10.02.2023;1876.4
12.02.2023;1868.7
13.02.2023;1868.4
14.02.2023;1858.3
15.02.2023;1848.9
16.02.2023;1836
17.02.2023;1851.3
19.02.2023;1851.6
20.02.2023;1848
21.02.2023;1845
22.02.2023;1837.6
23.02.2023;1832.9
24.02.2023;1818
26.02.2023;1815.9
27.02.2023;1821
28.02.2023;1836.8
01.03.2023;1840.4
02.03.2023;1844
03.03.2023;1862.8
05.03.2023;1859.7
06.03.2023;1852.5
07.03.2023;1815.6
08.03.2023;1817.8
09.03.2023;1833.7
10.03.2023;1872.7
12.03.2023;1886.7
12.03.2023;1907.6
14.03.2023;1907.1
15.03.2023;1916.8
16.03.2023;1931.9
17.03.2023;1993.7
19.03.2023;1978.3
20.03.2023;1987.6
21.03.2023;1942.4
22.03.2023;1979.4
23.03.2023;1995.4
24.03.2023;1981
26.03.2023;1976.4
27.03.2023;1960.5
28.03.2023;1967.5
29.03.2023;1959.8
30.03.2023;1998.8
31.03.2023;1987
02.04.2023;1968.1
03.04.2023;1995.4
04.04.2023;2039.7
05.04.2023;2027.9
06.04.2023;2023.7
09.04.2023;2006.2
10.04.2023;2012.7
11.04.2023;2032.1
12.04.2023;2031.6
13.04.2023;2059.4
14.04.2023;2017.7
16.04.2023;2017.2
17.04.2023;2012.2
18.04.2023;2015.9
19.04.2023;2004.4
20.04.2023;2013.5
21.04.2023;1994.1
23.04.2023;1991
24.04.2023;2002.8
25.04.2023;2004.6
26.04.2023;2008.5
27.04.2023;1997.6
28.04.2023;1999.4
30.04.2023;1992.1
01.05.2023;1990.6
02.05.2023;2027.3
03.05.2023;2049.7
04.05.2023;2057.9
05.05.2023;2025.7
07.05.2023;2030.8
08.05.2023;2032.3
09.05.2023;2038.6
10.05.2023;2038.4
11.05.2023;2016.5
12.05.2023;2015.7
14.05.2023;2018.4
15.05.2023;2021.3
16.05.2023;1994.8
17.05.2023;1984.9
18.05.2023;1965.5
19.05.2023;1979.2
21.05.2023;1979.7
22.05.2023;1964.6
23.05.2023;1978.3
24.05.2023;1957.8
25.05.2023;1948.4
26.05.2023;1946.8
28.05.2023;1963.2
29.05.2023;1957.3
30.05.2023;1976.4
31.05.2023;1981.5
01.06.2023;1999.6
02.06.2023;1964.9
04.06.2023;1962.8
05.06.2023;1975
06.06.2023;1979.3
07.06.2023;1960.7
08.06.2023;1978.7
09.06.2023;1975.5
11.06.2023;1972.7
12.06.2023;1975.8
13.06.2023;1962.4
14.06.2023;1946.8
15.06.2023;1968.9
16.06.2023;1969.1
18.06.2023;1967.7
19.06.2023;1961.8
20.06.2023;1947.9
21.06.2023;1942.6
22.06.2023;1921.9
23.06.2023;1929.7
25.06.2023;1935.2
26.06.2023;1937.7
27.06.2023;1924
28.06.2023;1913.8
29.06.2023;1916.7
30.06.2023;1926
02.07.2023;1926
03.07.2023;1930.7
04.07.2023;1932
05.07.2023;1924.5
06.07.2023;1916.8
07.07.2023;1930.5
09.07.2023;1929.6
10.07.2023;1932
11.07.2023;1943.7
12.07.2023;1965.1
13.07.2023;1966.6
14.07.2023;1959.8
16.07.2023;1955.9
17.07.2023;1963.1
18.07.2023;1979.2
19.07.2023;1987.7
20.07.2023;1972.1
21.07.2023;1964.1
23.07.2023;1961.7
24.07.2023;1963.2
25.07.2023;1965.3
26.07.2023;1978
27.07.2023;1991.8
28.07.2023;1997.5
30.07.2023;1992.5
31.07.2023;2004
01.08.2023;1986.2
02.08.2023;1972.6
03.08.2023;1970.3
04.08.2023;1977.1
06.08.2023;1974
07.08.2023;1967.8
08.08.2023;1963.9
09.08.2023;1951.2
10.08.2023;1946.6
11.08.2023;1945.5
13.08.2023;1944.6
14.08.2023;1939.4
15.08.2023;1934.9
16.08.2023;1922.3
17.08.2023;1924.1
18.08.2023;1917.7
20.08.2023;1920.4
21.08.2023;1924.7
22.08.2023;1929.9
23.08.2023;1948.9
24.08.2023;1941
25.08.2023;1941.4
27.08.2023;1944.1
28.08.2023;1953.3
29.08.2023;1964.7
30.08.2023;1970.4
31.08.2023;1965.5
01.09.2023;1966.2
03.09.2023;1971.1
04.09.2023;1962.8
05.09.2023;1951.6
06.09.2023;1944.2
07.09.2023;1948.8
08.09.2023;1942.8
10.09.2023;1946.5
11.09.2023;1946.8
12.09.2023;1931.7
13.09.2023;1931.1
14.09.2023;1937.1
15.09.2023;1944.7
17.09.2023;1949.8
18.09.2023;1953.6
19.09.2023;1951.3
20.09.2023;1948.3
21.09.2023;1943.2
22.09.2023;1944.4
24.09.2023;1943
25.09.2023;1932.3
26.09.2023;1917.9
27.09.2023;1891.4
28.09.2023;1880
29.09.2023;1864.9
01.10.2023;1859.3
02.10.2023;1836.1
03.10.2023;1835.9
04.10.2023;1842.6
05.10.2023;1837.8
06.10.2023;1844
08.10.2023;1865
09.10.2023;1875.9
10.10.2023;1873.4
11.10.2023;1890.4
12.10.2023;1886.1
13.10.2023;1942.5
15.10.2023;1933.1
16.10.2023;1929.5
17.10.2023;1950.3
18.10.2023;1958.1
19.10.2023;1989.6
20.10.2023;1990.8
22.10.2023;1985
23.10.2023;1987.9
24.10.2023;1983.9
25.10.2023;1997.3
26.10.2023;1997.8
27.10.2023;2015.6
29.10.2023;2011.7
30.10.2023;2001.5
31.10.2023;1985.6
01.11.2023;1993.2
02.11.2023;1993.1
03.11.2023;1999.9
05.11.2023;1990.8
06.11.2023;1977.9
07.11.2023;1973.7
08.11.2023;1954.4
09.11.2023;1962.6
10.11.2023;1939.9
12.11.2023;1939.9
13.11.2023;1948.5
14.11.2023;1971.1
15.11.2023;1965.3
16.11.2023;1988.6
17.11.2023;1983.5
19.11.2023;1983.7
20.11.2023;1994
21.11.2023;2000.8
22.11.2023;1996
23.11.2023;1994.7
24.11.2023;2003.7
26.11.2023;2013.7
27.11.2023;2015.5
28.11.2023;2067.4
29.11.2023;2064.8
30.11.2023;2059.7
01.12.2023;2089.3
03.12.2023;2105.3
04.12.2023;2050.2
05.12.2023;2039.6
06.12.2023;2043
07.12.2023;2047.8
08.12.2023;2019
10.12.2023;2012.4
11.12.2023;2000.8
12.12.2023;1993.1
13.12.2023;2045.8
14.12.2023;2051
15.12.2023;2034.7
17.12.2023;2036.7
18.12.2023;2037.6
19.12.2023;2053.7
20.12.2023;2048
21.12.2023;2061.1
22.12.2023;2064.8
24.12.2023;2064.5
25.12.2023;2075.1
26.12.2023;2077.1
27.12.2023;2096.6
28.12.2023;2079.2
29.12.2023;2075.3
31.12.2023;2071.8
01.01.2024;2078.6
02.01.2024;2073
03.01.2024;2050.3
04.01.2024;2051.3
05.01.2024;2051.1
07.01.2024;2042.3
08.01.2024;2038.9
09.01.2024;2035.3
10.01.2024;2036.1
11.01.2024;2038.9
12.01.2024;2051.3
14.01.2024;2058.2
15.01.2024;2052.9
16.01.2024;2028.5
17.01.2024;2010
18.01.2024;2022.9
19.01.2024;2030.6
21.01.2024;2026.9
22.01.2024;2029
23.01.2024;2025.3
24.01.2024;2015.5
25.01.2024;2020.9
26.01.2024;2017.9
28.01.2024;2025.3
29.01.2024;2049.5
30.01.2024;2052.6
31.01.2024;2063
01.02.2024;2072.3
02.02.2024;2054.5
04.02.2024;2048.2
05.02.2024;2042.2
06.02.2024;2051.1
07.02.2024;2047.4
08.02.2024;2047.5
09.02.2024;2040.3
11.02.2024;2036.9
12.02.2024;2032.4
13.02.2024;2005
14.02.2024;2003.6
15.02.2024;2015.4
16.02.2024;2024.2
18.02.2024;2030.4
19.02.2024;2030.6
20.02.2024;2041.7
21.02.2024;2038.7
22.02.2024;2035.5
23.02.2024;2046.9
25.02.2024;2041.9
26.02.2024;2043
27.02.2024;2039
28.02.2024;2043.5
29.02.2024;2053.8
01.03.2024;2093.5
03.03.2024;2089.4
04.03.2024;2123.9
05.03.2024;2134.2
06.03.2024;2165.5
07.03.2024;2164.6
08.03.2024;2183.6
10.03.2024;2186.1
10.03.2024;2183.7
12.03.2024;2164.2
