<DATE>;USDRUB
24.03.2022;102.2056
25.03.2022;101.25
27.03.2022;100.9007
28.03.2022;95.75
29.03.2022;85
30.03.2022;83.4701
31.03.2022;81.7081
01.04.2022;85
03.04.2022;82.75
04.04.2022;82.25
05.04.2022;83.9925
06.04.2022;82.115
07.04.2022;78.5
08.04.2022;79.5
10.04.2022;80.25
11.04.2022;82.75
12.04.2022;85.3625
13.04.2022;81.925
14.04.2022;81.875
15.04.2022;82.75
17.04.2022;82.75
18.04.2022;80.375
19.04.2022;80.9679
20.04.2022;82.25
21.04.2022;80.8626
22.04.2022;76.625
24.04.2022;76.625
25.04.2022;75.025
26.04.2022;74.875
27.04.2022;73.881
28.04.2022;72.7522
29.04.2022;70.6
02.05.2022;70.5608
03.05.2022;68.2539
04.05.2022;65.375
05.05.2022;64.075
06.05.2022;67.5
09.05.2022;68.95
10.05.2022;68.75
11.05.2022;66
12.05.2022;65.1145
13.05.2022;64.5
16.05.2022;63.875
17.05.2022;64.25
18.05.2022;63.5
19.05.2022;62.1176
20.05.2022;61.25
22.05.2022;60.8394
23.05.2022;58.5856
24.05.2022;56.375
25.05.2022;60.2
26.05.2022;64
27.05.2022;65.75
29.05.2022;65.75
30.05.2022;63.75
31.05.2022;62
01.06.2022;63.4823
02.06.2022;62.75
03.06.2022;62.61
05.06.2022;63
06.06.2022;61.3812
07.06.2022;61
08.06.2022;60.74
09.06.2022;58.0124
10.06.2022;55.125
12.06.2022;57.5
13.06.2022;57.4804
14.06.2022;58.3542
15.06.2022;57.2212
16.06.2022;58.5348
17.06.2022;56.5
19.06.2022;56
20.06.2022;54
21.06.2022;53.125
22.06.2022;54
23.06.2022;54.4869
24.06.2022;53.6
26.06.2022;53.3708
27.06.2022;53.1
28.06.2022;53
29.06.2022;51.9783
30.06.2022;54.125
01.07.2022;55.25
03.07.2022;53.9495
04.07.2022;56.25
05.07.2022;61.75
06.07.2022;62.8
07.07.2022;63.0679
08.07.2022;63
10.07.2022;64.9074
11.07.2022;64.25
12.07.2022;58.4195
13.07.2022;58.4568
14.07.2022;58.2678
15.07.2022;55.5
17.07.2022;55.5
18.07.2022;57.0075
19.07.2022;56.4543
20.07.2022;54.25
21.07.2022;58.0053
22.07.2022;57.925
24.07.2022;58.0948
25.07.2022;57.75
26.07.2022;60.0473
27.07.2022;59.3575
28.07.2022;61.75
29.07.2022;61.5
31.07.2022;61.5
01.08.2022;60.75
02.08.2022;59.375
03.08.2022;60.86
04.08.2022;61.8456
05.08.2022;60.5349
07.08.2022;60.5153
08.08.2022;61.125
09.08.2022;60.4649
10.08.2022;61.5024
11.08.2022;60.6188
12.08.2022;60.75
14.08.2022;61.5011
15.08.2022;61.4846
16.08.2022;61.4873
17.08.2022;60.4716
18.08.2022;59.9819
19.08.2022;58.75
21.08.2022;59.4858
22.08.2022;60.1236
23.08.2022;59.5
24.08.2022;59.8105
25.08.2022;60.15
26.08.2022;59.55
28.08.2022;60.2923
29.08.2022;61.75
30.08.2022;59.9679
31.08.2022;59.375
01.09.2022;59.46
02.09.2022;60.2562
04.09.2022;60.2988
05.09.2022;60.9478
06.09.2022;61.2743
07.09.2022;62.285
08.09.2022;61.4778
09.09.2022;59.78
11.09.2022;60.0713
12.09.2022;59.32
13.09.2022;61.735
14.09.2022;59.7118
15.09.2022;59.6139
16.09.2022;59.75
19.09.2022;60.07
20.09.2022;61.4148
21.09.2022;61.5692
22.09.2022;59.8969
23.09.2022;56.87
25.09.2022;56.5
26.09.2022;58.535
27.09.2022;58.15
28.09.2022;57.934
29.09.2022;56.75
30.09.2022;59.2
02.10.2022;60.2238
03.10.2022;58.0211
04.10.2022;59.0165
05.10.2022;60
06.10.2022;60.75
07.10.2022;60.95
10.10.2022;62
11.10.2022;65.4302
12.10.2022;63.8
13.10.2022;63.95
14.10.2022;61.9
16.10.2022;61.15
17.10.2022;61.05
18.10.2022;60.5
19.10.2022;61.85
20.10.2022;61.5
21.10.2022;60.65
24.10.2022;61
25.10.2022;60.25
26.10.2022;61.25
27.10.2022;61.3
28.10.2022;61.5
30.10.2022;61.5
31.10.2022;61
01.11.2022;61.75
02.11.2022;60.7
03.11.2022;61.35
04.11.2022;61.9
06.11.2022;60.95
07.11.2022;61.4
08.11.2022;59.6
09.11.2022;61.55
10.11.2022;59.75
11.11.2022;59.55
13.11.2022;59.55
14.11.2022;60.375
15.11.2022;61.3
16.11.2022;59.775
17.11.2022;59.525
18.11.2022;59.46
20.11.2022;59.85
21.11.2022;60.56
22.11.2022;60.65
23.11.2022;59.8
24.11.2022;60.35
25.11.2022;59.75
28.11.2022;59.96
29.11.2022;60.83
30.11.2022;60.025
01.12.2022;61.2
02.12.2022;61.575
04.12.2022;61.5
05.12.2022;61.625
06.12.2022;62.4
07.12.2022;62.547
08.12.2022;62.4
09.12.2022;62.5
11.12.2022;62.5
12.12.2022;61.66
13.12.2022;63.2
14.12.2022;64.747
15.12.2022;63.65
16.12.2022;63.875
18.12.2022;64
19.12.2022;66
20.12.2022;69.25
21.12.2022;69.5
22.12.2022;67
23.12.2022;68
26.12.2022;68.33
27.12.2022;69
28.12.2022;71.75
29.12.2022;73
30.12.2022;72
01.01.2023;73.65
02.01.2023;71.0007
03.01.2023;73.0482
04.01.2023;71.4959
05.01.2023;72.147
06.01.2023;71.48
08.01.2023;72.429
09.01.2023;69.88
10.01.2023;69.6736
11.01.2023;68.3025
12.01.2023;67.7804
13.01.2023;68.9958
15.01.2023;68.976
16.01.2023;68.7576
17.01.2023;68.5147
18.01.2023;68.7422
19.01.2023;69.394
20.01.2023;69.101
22.01.2023;69.0411
23.01.2023;68.75
24.01.2023;69.4476
25.01.2023;69.2256
26.01.2023;69.4972
27.01.2023;69.7542
29.01.2023;68.732
30.01.2023;69.88
31.01.2023;70.5835
01.02.2023;69.9033
02.02.2023;70.078
03.02.2023;70.6555
05.02.2023;70.575
06.02.2023;71.4945
07.02.2023;72.1489
08.02.2023;72.0444
09.02.2023;72.8704
10.02.2023;73.086
13.02.2023;73.175
14.02.2023;73.5995
15.02.2023;73.9936
16.02.2023;74.7113
17.02.2023;73.6381
19.02.2023;72.3
20.02.2023;72.9919
21.02.2023;74.6484
22.02.2023;74.8974
23.02.2023;75.4024
24.02.2023;76.0077
26.02.2023;75.98
27.02.2023;74.6446
28.02.2023;75.0442
01.03.2023;75.2646
02.03.2023;75.5325
03.03.2023;75.6906
05.03.2023;75.675
06.03.2023;75.5704
07.03.2023;75.5975
08.03.2023;76.0512
09.03.2023;75.8478
10.03.2023;76.175
12.03.2023;75.18
13.03.2023;75.5467
14.03.2023;75.7397
15.03.2023;76.0985
16.03.2023;76.499
17.03.2023;76.9438
19.03.2023;75.94
20.03.2023;77.4881
21.03.2023;77.2482
22.03.2023;76.9254
23.03.2023;75.9967
24.03.2023;77.2707
26.03.2023;76.26
27.03.2023;76.85
28.03.2023;76.5715
29.03.2023;77.323
30.03.2023;77.2731
31.03.2023;77.976
02.04.2023;76.98
03.04.2023;78.6548
04.04.2023;79.2984
05.04.2023;80.1949
06.04.2023;81.175
07.04.2023;80.53
09.04.2023;80.53
10.04.2023;81.63
11.04.2023;81.0874
12.04.2023;82.0464
13.04.2023;81.6961
14.04.2023;82.2773
16.04.2023;82.251
17.04.2023;82.0464
18.04.2023;81.7992
19.04.2023;81.6964
20.04.2023;81.7946
21.04.2023;81.876
23.04.2023;81.876
24.04.2023;81.4771
25.04.2023;81.6914
26.04.2023;81.7957
27.04.2023;81.8452
28.04.2023;79.43
30.04.2023;79.951
01.05.2023;79.68
02.05.2023;80.1068
03.05.2023;79.4982
04.05.2023;78.6448
05.05.2023;77.785
07.05.2023;76.79
08.05.2023;77.7224
09.05.2023;77.9931
10.05.2023;76.1112
11.05.2023;76.994
12.05.2023;77.6739
14.05.2023;76.66
15.05.2023;79.748
16.05.2023;80.4807
17.05.2023;79.7477
18.05.2023;80.3976
19.05.2023;80.0947
21.05.2023;80.525
22.05.2023;80.4968
23.05.2023;80.1563
24.05.2023;80.0961
25.05.2023;80.001
26.05.2023;78.9945
28.05.2023;77.98
29.05.2023;80.2457
30.05.2023;75.1764
31.05.2023;81.5487
01.06.2023;80.9981
02.06.2023;80.7903
04.06.2023;80.775
05.06.2023;80.5934
06.06.2023;81.3424
07.06.2023;81.544
08.06.2023;82.0133
09.06.2023;82.7213
11.06.2023;81.705
12.06.2023;83.8699
13.06.2023;83.9463
14.06.2023;83.9935
15.06.2023;83.4741
16.06.2023;83.8729
18.06.2023;82.855
19.06.2023;83.8446
20.06.2023;83.8434
21.06.2023;83.6429
22.06.2023;80.9878
23.06.2023;83.6402
25.06.2023;82.63
26.06.2023;84.4086
27.06.2023;85.3731
28.06.2023;86.0051
29.06.2023;86.8506
30.06.2023;88.8
02.07.2023;88.8
03.07.2023;89.4958
04.07.2023;90.9932
05.07.2023;91.2449
06.07.2023;91.2528
07.07.2023;91.235
09.07.2023;90.24
10.07.2023;91.0966
11.07.2023;90.4903
12.07.2023;90.4984
13.07.2023;90.1198
14.07.2023;90.226
16.07.2023;90.226
17.07.2023;90.5998
18.07.2023;90.9925
19.07.2023;91.9445
20.07.2023;90.1012
21.07.2023;90.976
23.07.2023;90.976
24.07.2023;90.444
25.07.2023;90.1944
26.07.2023;89.9979
27.07.2023;90.6989
28.07.2023;92.0567
30.07.2023;92.035
31.07.2023;91.6459
01.08.2023;92.397
02.08.2023;94.0387
03.08.2023;94.4765
04.08.2023;95.862
06.08.2023;95.851
07.08.2023;95.3826
08.08.2023;97.2054
09.08.2023;96.8701
10.08.2023;97.0244
11.08.2023;98.527
13.08.2023;98.527
14.08.2023;95.98
15.08.2023;97.98
16.08.2023;96.33
17.08.2023;93.895
18.08.2023;92.98
20.08.2023;92.98
21.08.2023;93.4375
22.08.2023;93.23
23.08.2023;92.98
24.08.2023;94.726
25.08.2023;93.98
27.08.2023;94.976
28.08.2023;92.98
29.08.2023;95.4236
30.08.2023;96.126
31.08.2023;95.869
01.09.2023;96.4187
03.09.2023;95.385
04.09.2023;96.851
05.09.2023;96.74
06.09.2023;98.3957
07.09.2023;98.4928
08.09.2023;96.75
10.09.2023;97.902
11.09.2023;94.33
12.09.2023;95.9489
13.09.2023;95.213
14.09.2023;96.2692
15.09.2023;95.78
17.09.2023;96.726
18.09.2023;95.9449
19.09.2023;97.4954
20.09.2023;96.0181
21.09.2023;95.08
22.09.2023;95.28
24.09.2023;94.63
25.09.2023;95.8432
26.09.2023;96.576
27.09.2023;97.0718
28.09.2023;96.6536
29.09.2023;96.4802
01.10.2023;96.476
02.10.2023;99.2399
03.10.2023;100.0985
04.10.2023;100.332
05.10.2023;100.132
06.10.2023;100.992
08.10.2023;99.98
09.10.2023;98.25
10.10.2023;95.5468
11.10.2023;99.48
12.10.2023;97.7232
13.10.2023;97.7051
15.10.2023;97.525
16.10.2023;97.3483
17.10.2023;98.001
18.10.2023;97.451
19.10.2023;96.8436
20.10.2023;95.4391
22.10.2023;95.675
23.10.2023;94.4922
24.10.2023;93.451
25.10.2023;93.351
26.10.2023;93.626
27.10.2023;94.175
29.10.2023;94.425
30.10.2023;92.525
31.10.2023;93.3179
01.11.2023;92.55
02.11.2023;94.001
03.11.2023;92.8202
05.11.2023;91.704
06.11.2023;92.6088
07.11.2023;92.1005
08.11.2023;91.822
09.11.2023;91.679
10.11.2023;92.251
12.11.2023;92.251
13.11.2023;91.9044
14.11.2023;90.5
15.11.2023;89.4076
16.11.2023;89.326
17.11.2023;89.927
19.11.2023;88.89
20.11.2023;88.53
21.11.2023;88.1933
22.11.2023;88.3816
23.11.2023;88.2839
24.11.2023;89.2945
26.11.2023;89.476
27.11.2023;89.0698
28.11.2023;89.101
29.11.2023;88.6797
30.11.2023;90.076
01.12.2023;90.55
03.12.2023;90.55
04.12.2023;91.5165
05.12.2023;92.5939
06.12.2023;92.9162
07.12.2023;92.376
08.12.2023;91.826
10.12.2023;91.826
11.12.2023;91.1138
12.12.2023;90.2932
13.12.2023;89.3061
14.12.2023;89.451
15.12.2023;90.625
17.12.2023;90.425
18.12.2023;90.5204
19.12.2023;90.4653
20.12.2023;91.0968
21.12.2023;92.8924
22.12.2023;92.1147
25.12.2023;91.965
26.12.2023;91.62
27.12.2023;91.6478
28.12.2023;88.473
29.12.2023;89.351
31.12.2023;89.351
01.01.2024;89.351
02.01.2024;90.4273
03.01.2024;91.9928
04.01.2024;91.3444
05.01.2024;90.919
08.01.2024;90.8969
09.01.2024;89.5632
10.01.2024;89.3473
11.01.2024;88.4907
12.01.2024;87.938
14.01.2024;87.938
15.01.2024;87.7218
16.01.2024;88.086
17.01.2024;88.976
18.01.2024;89.414
19.01.2024;88.05
21.01.2024;88.05
22.01.2024;87.9932
23.01.2024;88.6173
24.01.2024;88.7529
25.01.2024;89.0221
26.01.2024;89.7408
29.01.2024;89.2778
30.01.2024;89.6309
31.01.2024;89.9626
01.02.2024;90.4669
02.02.2024;90.976
04.02.2024;90.625
05.02.2024;90.5515
06.02.2024;90.6761
07.02.2024;91.5993
08.02.2024;91.1689
09.02.2024;91.0008
11.02.2024;91.351
12.02.2024;91.2209
13.02.2024;91.4948
14.02.2024;91.6443
15.02.2024;92.387
16.02.2024;91.992
19.02.2024;92.3349
20.02.2024;92.3449
21.02.2024;92.2952
22.02.2024;93.043
23.02.2024;94.726
25.02.2024;94.726
26.02.2024;92.346
27.02.2024;92.0235
28.02.2024;91.5471
29.02.2024;91.2587
01.03.2024;91.677
03.03.2024;91.677
04.03.2024;91.471
05.03.2024;90.9863
06.03.2024;90.727
07.03.2024;90.6377
08.03.2024;90.84
10.03.2024;90.84
11.03.2024;90.675
12.03.2024;91.7511
